###########################################
# Southern Europe (includes Balkans)


##################
# NB:
#  use es/teams.txt for Spanish Teams
#  use it/teams.txt for Italian Teams


#######################
# Malta (MLT), mt

valletta, Valletta FC, mt
birkirkara, Birkirkara FC, mt
floriana, Floriana FC, mt
hibernians, Hibernians FC, mt
sliema, Sliema Wanderers FC, mt
marsaxlokk, Marsaxlokk FC, mt


##########################
#  San Marino (SMR), sm

trefiori,  SP Tre Fiori, sm
trepenne,  SP Tre Penne, sm
dogana,    AC Juvenes-Dogana, sm
lafiorita, SP La Fiorita, sm
libertas,  AC Libertas, sm
faetano,   SC Faetano, sm
murata,    SS Murata, sm


################################
# Portugal (POR), pt

porto,        Porto|FC Porto,                        pt, city:porto
benfica,      Benfica|Benfica Lissabon|Benfica Lis.,   pt, city:lisboa
braga,        Braga|Sporting Braga,                  pt, city:braga
sporting,     Sporting Lisboa|Sporting CP|Sporting Clube de Portugal,    pt, city:lisboa
maritimo,         CS Marítimo, pt
nacionaldamadeira,  CD Nacional|Nacional da Madeira , pt
coimbra,            A. Académica de Coimbra, pt
vitoriasc,            Vitória SC, pt
vitoriafc,            Vitória FC, pt
ferreira,           FC Paços de Ferreira, pt


########################
# Andorra (AND), ad

santjulia,   UE Sant Julià, ad
fcsantacoloma, FC Santa Coloma, ad
uesantacoloma, UE Santa Coloma, ad
lusitans,    FC Lusitans, ad


#############################
# Croatia (CRO), hr

zagreb,       Dinamo Zagreb|NK Dinamo Zagreb,        hr, city:zagreb
hajduksplit,  HNK Hajduk Split, hr
rnksplit,     RNK Split, hr
koprivnica,   NK Slaven Koprivnica, hr
varazdin,     NK Varaždin, hr
rijeka,       HNK Rijeka, hr
osijek,       NK Osijek, hr
cibalia,      HNK Cibalia, hr
sibenik,      HNK Šibenik, hr


#############################
# Serbia (SRB), rs

partizan,      FK Partizan,     rs
crvenazvezda,  FK Crvena zvezda, rs
vojvodina,     FK Vojvodina, rs
beograd,       OFK Beograd, rs
zlatibor,      FK Spartak Zlatibor voda, rs
uzice,         FK Sloboda Užice, rs
rad,           FK Rad, rs
jagodina,      FK Jagodina, rs
cacak,         FK Borac Čačak, rs


##############################
# Bosnia and Herzegovina (BIH), ba

sarajevo,        FK Sarajevo, ba
slavijasarajevo, FK Slavija Sarajevo, ba
zeljeznicar,     FK Željezničar, ba
zrinjski,        HŠK Zrinjski, ba
brijeg,          NK Široki Brijeg, ba
banjaluka,       FK Borac Banja Luka, ba
modrica,         FK Modriča, ba


###########################
# Macedonia (MKD), mk

metalurgskopje,   FK Metalurg Skopje, mk
makedonijaskopje, FK Makedonija Skopje, mk
rabotnicki,       FK Rabotnicki, mk
renova,           FK Renova, mk
shkendija,        FK Shkëndija 79, mk
vardar,           FK Vardar, mk
teteks,           FK Teteks, mk
milano,           FK Milano, mk
pelister,         FK Pelister, mk


#####################################
#  Montenegro (MNE), me

podgorica, FK Budućnost Podgorica, me
mogren,    FK Mogren, me
zeta,      FK Zeta, me
pljevlja,  FK Rudar Pljevlja, me
petrovac,  OFK Petrovac, me
niksic,    FK Čelik Nikšić, me
sutjeska,  FK Sutjeska, me


###################################
# Albania (ALB), al

kftirana,     KF Tirana, al
dinamotirana, FK Dinamo Tirana, al
skenderbeu,   KS Skënderbeu, al
flamurtari,   KS Flamurtari, al
vllaznia,    KF Vllaznia, al
besa,        KS Besa, al
teuta,       KS Teuta, al
laci,        KF Laçi, al
partizani,   FK Partizani, al


#######################
# Greece (GRE), gr

## fix: change city to athens for piraeus?

olympiacos,      Olympiakos Piräus|Olympiakos P.|Olympiacos,    gr, city:piraeus
panathinaikos,   Panathinaikos FC, gr
paok,            PAOK FC, gr
aekathens,       AEK Athens FC, gr
thessaloniki,    Aris Thessaloniki FC, gr
atromitos,       Atromitos FC, gr
tripolis,        Asteras Tripolis FC, gr
olympiacosvolou, Olympiacos Volou FC, gr
larissa,         Larissa FC, gr


#########################
#  Turkey (TUR), tr

galatasaray,   Galatasaray|Galatasaray Istanbul,     tr, city:istanbul
fenerbahce,    Fenerbahçe|Fenerbahçe SK|Fenerbahçe Spor Kulübü|Fenerbahçe Sports Club,      tr, city:istanbul
besiktas,      Beşiktaş JK, tr
trabzonspor,   Trabzonspor AŞ, tr
bursaspor,     Bursaspor, tr
sivasspor,     Sivasspor, tr
eskisehirspor, Eskişehirspor, tr
gaziantepspor, Gaziantepspor, tr
kayserispor,   Kayserispor, tr


#############################
# Cyprus (CYP), cy

apoel,           APOEL|APOEL Nikosia|APOEL FC,            cy, city:nikosia
anorthosis,      Anorthosis Famagusta FC, cy
omonia,          AC Omonia, cy
larnaca,         AEK Larnaca FC, cy
limassol,        AEL Limassol FC, cy
apollonlimassol, Apollon Limassol FC, cy
kinyraspeyias,   APOP/Kinyras Peyias FC, cy


###############################
# Isreal (ISR), il

hapoeltelaviv,     Hapoel Tel-Aviv FC,      il
bneiyehudatelaviv, Bnei Yehuda Tel-Aviv FC, il
maccabitelaviv,    Maccabi Tel-Aviv FC,     il
haifa,             Maccabi Haifa FC,        il
kiryatshmona,      Hapoel Kiryat Shmona FC, il
netanya,           Maccabi Netanya FC,      il
beitarjerusalem,   Beitar Jerusalem FC,     il
